,Attr 4,Attr 5,Attr 6,Attr 7,Attr 8,Attr 9,Attr 10,Attr 11,Attr 12,Attr 4_BIN,Attr 5_BIN,Attr 6_BIN,Attr 7_BIN,Attr 8_BIN,Attr 9_BIN,Attr 10_BIN,Attr 11_BIN,Attr 12_BIN,Labels
0,-1.408395301,7.246530844,9.63853598,0.297901821,0.04799355,0.068373935,0.944100408,0.59520325,218.5300301,-1.4539102583600003,7.251425385260002,9.842022214999997,0.2478392171,0.11856576400000003,0.11856576400000003,0.9633438481399998,0.6336044695799999,239.88517412600007,X
1,-1.004670838,7.198880865,9.274544097,-0.886493018,-0.427310766,0.04799355,0.563775162,0.894628008,597.2286454,-1.02726168518,7.251425385260002,9.267293757479997,-0.96185727842,-0.41517308436,0.11856576400000003,0.5217608463999999,0.8775436666399997,582.3415829179999,X
2,-2.618999166,5.342282343,0.375135749,-0.098468712,-0.7796704190000001,-0.427310766,0.068373935,0.944100408,377.771683,-2.5339306094200005,5.2953366848200005,0.33309894602000006,-0.12495955793999998,-0.7769772820600003,-0.41517308436,0.11856576400000003,0.9633438481399998,376.06581214600027,Y
3,-2.035726812,6.356186318,0.6198230379999999,-1.160188866,-0.80639621,-0.7796704190000001,0.04799355,0.563775162,262.4089917,-1.95006696154,6.322451596980001,0.7497243585999999,-1.1375013435199997,-0.8216083811800001,-0.7769772820600003,0.11856576400000003,0.5217608463999999,239.88517412600007,Y
4,-1.149173223,7.428148285,9.011427156,1.31815055,-0.501087292,-0.80639621,-0.427310766,0.068373935,-148.91191709999995,-1.02726168518,7.251425385260002,9.059493287499999,1.363749327,-0.5305038977,-0.8216083811800001,-0.41517308436,0.11856576400000003,-139.849213036,Z
5,1.353257326,4.196749429,1.784057209,0.8840687779999999,0.032487103,-0.501087292,-0.7796704190000001,0.04799355,258.3720545,1.3353501592,4.271888816540001,1.7841896430600002,0.9261433095399998,-0.020389253180000007,-0.5305038977,-0.7769772820600003,0.11856576400000003,239.88517412600007,Z
6,-0.725382237,7.648483612000001,8.929193856,-0.040586593,0.568347843,0.032487103,-0.80639621,-0.427310766,-410.3864847,-0.7003827792799998,7.58321984174,9.059493287499999,0.0007660345800000001,0.5217608463999999,-0.020389253180000007,-0.8216083811800001,-0.41517308436,-378.3070256660001,Z
7,-0.8679222959999999,8.059179607999999,8.847776974,0.299592814,0.860887304,0.568347843,-0.501087292,-0.7796704190000001,-57.48916761,-0.7003827792799998,7.995357458820003,8.717401946099997,0.2478392171,0.8775436666399997,0.5217608463999999,-0.5305038977,-0.7769772820600003,-68.10720640760002,X
8,0.986648926,-1.562254223,2.957233424,0.647575835,0.89546482,0.860887304,0.032487103,-0.80639621,295.6485148,0.9699570289199998,-1.4998574763,2.95241298046,0.6538456558,0.8775436666399997,0.8775436666399997,-0.020389253180000007,-0.8216083811800001,303.780513964,X
9,-0.842755556,8.038127626,9.024365021,1.099154572,0.581759336,0.89546482,0.568347843,-0.501087292,40.78772695,-0.7003827792799998,7.995357458820003,9.059493287499999,1.1054437169199998,0.6336044695799999,0.8775436666399997,0.5217608463999999,-0.5305038977,60.55861778219998,Y
10,1.471004661,-1.359544809,3.092100725,0.08352376,0.104021224,0.581759336,0.860887304,0.032487103,49.84783424,1.61677151214,-1.3081337560999997,3.1327481984599994,0.12396973816000001,0.11856576400000003,0.6336044695799999,0.8775436666399997,-0.020389253180000007,60.55861778219998,X
